"Year";"AverageTemperature";"Country";"slope"
1892;14.076;Afghanistan;0.014612150122612017
1896;14.09875;Afghanistan;0.014612150122612017
1903;12.986416666666665;Afghanistan;0.014612150122612017
1910;13.216499999999998;Afghanistan;0.014612150122612017
1911;13.384999999999998;Afghanistan;0.014612150122612017
1912;13.902666666666663;Afghanistan;0.014612150122612017
1913;13.859250000000001;Afghanistan;0.014612150122612017
1922;14.255499999999998;Afghanistan;0.014612150122612017
1923;13.338916666666664;Afghanistan;0.014612150122612017
1924;13.629000000000003;Afghanistan;0.014612150122612017
1926;13.745333333333333;Afghanistan;0.014612150122612017
1927;13.844583333333333;Afghanistan;0.014612150122612017
1928;13.633000000000003;Afghanistan;0.014612150122612017
1933;13.882916666666668;Afghanistan;0.014612150122612017
1935;13.29625;Afghanistan;0.014612150122612017
1937;13.571583333333335;Afghanistan;0.014612150122612017
1938;14.211250000000001;Afghanistan;0.014612150122612017
1939;14.161916666666665;Afghanistan;0.014612150122612017
1940;14.734;Afghanistan;0.014612150122612017
1941;15.50275;Afghanistan;0.014612150122612017
1942;14.451166666666667;Afghanistan;0.014612150122612017
1943;13.707833333333332;Afghanistan;0.014612150122612017
1944;14.291750000000002;Afghanistan;0.014612150122612017
1945;13.86625;Afghanistan;0.014612150122612017
1946;14.594666666666667;Afghanistan;0.014612150122612017
1947;15.035083333333334;Afghanistan;0.014612150122612017
1948;14.335250000000002;Afghanistan;0.014612150122612017
1949;13.350083333333332;Afghanistan;0.014612150122612017
1950;13.0435;Afghanistan;0.014612150122612017
1951;13.96775;Afghanistan;0.014612150122612017
1952;14.175416666666669;Afghanistan;0.014612150122612017
1953;14.650750000000002;Afghanistan;0.014612150122612017
1954;13.691333333333333;Afghanistan;0.014612150122612017
1955;14.642583333333334;Afghanistan;0.014612150122612017
1956;14.191083333333333;Afghanistan;0.014612150122612017
1957;12.777166666666666;Afghanistan;0.014612150122612017
1958;14.716749999999998;Afghanistan;0.014612150122612017
1959;14.152583333333332;Afghanistan;0.014612150122612017
1960;13.985416666666667;Afghanistan;0.014612150122612017
1961;14.064916666666667;Afghanistan;0.014612150122612017
1962;13.768666666666666;Afghanistan;0.014612150122612017
1963;15.033416666666666;Afghanistan;0.014612150122612017
1964;13.084916666666667;Afghanistan;0.014612150122612017
1965;14.101833333333333;Afghanistan;0.014612150122612017
1966;14.342999999999998;Afghanistan;0.014612150122612017
1967;13.66325;Afghanistan;0.014612150122612017
1968;13.762333333333332;Afghanistan;0.014612150122612017
1969;13.805083333333336;Afghanistan;0.014612150122612017
1970;14.78308333333333;Afghanistan;0.014612150122612017
1971;14.823500000000001;Afghanistan;0.014612150122612017
1972;12.547166666666667;Afghanistan;0.014612150122612017
1974;13.316749999999999;Afghanistan;0.014612150122612017
1975;13.548083333333333;Afghanistan;0.014612150122612017
1976;13.708583333333332;Afghanistan;0.014612150122612017
1977;14.805416666666668;Afghanistan;0.014612150122612017
1978;14.329666666666668;Afghanistan;0.014612150122612017
1979;14.262083333333335;Afghanistan;0.014612150122612017
1980;14.887333333333332;Afghanistan;0.014612150122612017
1982;13.733083333333335;Afghanistan;0.014612150122612017
1983;14.614833333333335;Afghanistan;0.014612150122612017
1984;14.245833333333332;Afghanistan;0.014612150122612017
1985;14.888749999999996;Afghanistan;0.014612150122612017
1986;14.223166666666666;Afghanistan;0.014612150122612017
1987;14.983999999999996;Afghanistan;0.014612150122612017
1988;15.388999999999998;Afghanistan;0.014612150122612017
1989;14.125750000000002;Afghanistan;0.014612150122612017
1990;14.993333333333332;Afghanistan;0.014612150122612017
1991;14.370750000000001;Afghanistan;0.014612150122612017
1993;14.439249999999996;Afghanistan;0.014612150122612017
1994;14.75475;Afghanistan;0.014612150122612017
1995;14.859166666666667;Afghanistan;0.014612150122612017
1996;14.426000000000002;Afghanistan;0.014612150122612017
1997;14.904000000000002;Afghanistan;0.014612150122612017
1998;15.1325;Afghanistan;0.014612150122612017
1999;15.38875;Afghanistan;0.014612150122612017
2000;15.497833333333334;Afghanistan;0.014612150122612017
2001;15.778083333333333;Afghanistan;0.014612150122612017
2003;14.916000000000002;Afghanistan;0.014612150122612017
2004;15.77091666666667;Afghanistan;0.014612150122612017
2005;14.979999999999999;Afghanistan;0.014612150122612017
2006;15.595583333333332;Afghanistan;0.014612150122612017
2007;15.106166666666669;Afghanistan;0.014612150122612017
2009;15.257749999999996;Afghanistan;0.014612150122612017
2010;15.828666666666669;Afghanistan;0.014612150122612017
2011;15.518;Afghanistan;0.014612150122612017
2012;14.481583333333335;Afghanistan;0.014612150122612017
1875;23.369249999999997;Africa;0.009448683044632386
1879;23.53408333333334;Africa;0.009448683044632386
1881;23.927916666666665;Africa;0.009448683044632386
1882;23.548833333333334;Africa;0.009448683044632386
1883;23.57766666666667;Africa;0.009448683044632386
1884;23.287166666666668;Africa;0.009448683044632386
1885;23.493666666666666;Africa;0.009448683044632386
1886;23.46525;Africa;0.009448683044632386
1887;23.41083333333334;Africa;0.009448683044632386
1888;23.470916666666668;Africa;0.009448683044632386
1889;23.717249999999996;Africa;0.009448683044632386
1890;23.2685;Africa;0.009448683044632386
1891;23.4785;Africa;0.009448683044632386
1892;23.64825;Africa;0.009448683044632386
1893;23.616083333333332;Africa;0.009448683044632386
1894;23.622833333333336;Africa;0.009448683044632386
1895;23.840083333333336;Africa;0.009448683044632386
1896;23.732916666666668;Africa;0.009448683044632386
1897;23.955833333333334;Africa;0.009448683044632386
1898;23.784166666666668;Africa;0.009448683044632386
1899;23.951249999999998;Africa;0.009448683044632386
1900;23.9915;Africa;0.009448683044632386
1901;24.08141666666667;Africa;0.009448683044632386
1902;23.90191666666667;Africa;0.009448683044632386
1903;23.68391666666666;Africa;0.009448683044632386
1904;23.330083333333334;Africa;0.009448683044632386
1905;23.70966666666666;Africa;0.009448683044632386
1906;23.63683333333333;Africa;0.009448683044632386
1907;23.37658333333334;Africa;0.009448683044632386
1908;23.66491666666667;Africa;0.009448683044632386
1909;23.698916666666666;Africa;0.009448683044632386
1910;23.612916666666667;Africa;0.009448683044632386
1911;23.59183333333333;Africa;0.009448683044632386
1912;23.893333333333334;Africa;0.009448683044632386
1913;23.98058333333333;Africa;0.009448683044632386
1914;24.256666666666664;Africa;0.009448683044632386
1915;24.17425;Africa;0.009448683044632386
1916;23.84958333333333;Africa;0.009448683044632386
1917;23.6955;Africa;0.009448683044632386
1918;23.66541666666667;Africa;0.009448683044632386
1919;24.089;Africa;0.009448683044632386
1920;23.802833333333336;Africa;0.009448683044632386
1921;23.899833333333333;Africa;0.009448683044632386
1922;23.96241666666667;Africa;0.009448683044632386
1923;23.85291666666667;Africa;0.009448683044632386
1924;24.181583333333332;Africa;0.009448683044632386
1925;23.943916666666667;Africa;0.009448683044632386
1926;24.253583333333328;Africa;0.009448683044632386
1927;24.189833333333336;Africa;0.009448683044632386
1928;24.216916666666666;Africa;0.009448683044632386
1929;23.971833333333333;Africa;0.009448683044632386
1930;24.099166666666665;Africa;0.009448683044632386
1931;24.544750000000004;Africa;0.009448683044632386
1932;24.16783333333333;Africa;0.009448683044632386
1933;24.203416666666666;Africa;0.009448683044632386
1934;24.042083333333338;Africa;0.009448683044632386
1935;24.030166666666663;Africa;0.009448683044632386
1936;24.06775;Africa;0.009448683044632386
1937;24.249750000000002;Africa;0.009448683044632386
1938;24.098916666666668;Africa;0.009448683044632386
1939;24.04658333333333;Africa;0.009448683044632386
1940;24.261750000000003;Africa;0.009448683044632386
1941;24.63066666666667;Africa;0.009448683044632386
1942;24.447166666666664;Africa;0.009448683044632386
1943;24.009249999999998;Africa;0.009448683044632386
1944;24.22375;Africa;0.009448683044632386
1945;24.16416666666667;Africa;0.009448683044632386
1946;24.185000000000002;Africa;0.009448683044632386
1947;24.39916666666667;Africa;0.009448683044632386
1948;24.007833333333334;Africa;0.009448683044632386
1949;24.179750000000002;Africa;0.009448683044632386
1950;23.88083333333333;Africa;0.009448683044632386
1951;24.128333333333334;Africa;0.009448683044632386
1952;24.275916666666664;Africa;0.009448683044632386
1953;24.09358333333333;Africa;0.009448683044632386
1954;23.942333333333334;Africa;0.009448683044632386
1955;24.157833333333333;Africa;0.009448683044632386
1956;23.849666666666668;Africa;0.009448683044632386
1957;24.08241666666667;Africa;0.009448683044632386
1958;24.414833333333334;Africa;0.009448683044632386
1959;24.167;Africa;0.009448683044632386
1960;24.305083333333332;Africa;0.009448683044632386
1961;24.028500000000005;Africa;0.009448683044632386
1962;24.1945;Africa;0.009448683044632386
1963;24.266666666666666;Africa;0.009448683044632386
1964;23.993750000000002;Africa;0.009448683044632386
1965;23.967583333333334;Africa;0.009448683044632386
1966;24.301833333333335;Africa;0.009448683044632386
1967;23.931;Africa;0.009448683044632386
1968;24.011749999999996;Africa;0.009448683044632386
1969;24.554833333333335;Africa;0.009448683044632386
1970;24.321583333333333;Africa;0.009448683044632386
1971;23.933083333333332;Africa;0.009448683044632386
1972;24.199083333333334;Africa;0.009448683044632386
1973;24.40008333333334;Africa;0.009448683044632386
1974;23.830416666666668;Africa;0.009448683044632386
1975;23.919749999999997;Africa;0.009448683044632386
1976;23.91191666666667;Africa;0.009448683044632386
1977;24.27425;Africa;0.009448683044632386
1978;24.222166666666666;Africa;0.009448683044632386
1979;24.498416666666667;Africa;0.009448683044632386
1980;24.44666666666667;Africa;0.009448683044632386
1981;24.297416666666667;Africa;0.009448683044632386
1982;24.211583333333333;Africa;0.009448683044632386
1983;24.579416666666663;Africa;0.009448683044632386
1984;24.38716666666667;Africa;0.009448683044632386
1985;24.339833333333335;Africa;0.009448683044632386
1986;24.309416666666667;Africa;0.009448683044632386
1987;24.921999999999997;Africa;0.009448683044632386
1988;24.56833333333333;Africa;0.009448683044632386
1989;24.223833333333342;Africa;0.009448683044632386
1990;24.70375;Africa;0.009448683044632386
